"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks Green"," "
"2",2011,"Birmingham","Adderly St"," "
"3",2011,"Birmingham","Alcester Raod Mosley"," "
"4",2011,"Birmingham","alcester road"," "
"5",2011,"Birmingham","alcester road moseley"," "
"6",2011,"Birmingham","Alcester Road Moseley"," "
"7",2011,"Birmingham","Alfred St"," "
"8",2011,"Birmingham","All service club Mosley"," "
"9",2011,"Birmingham","Alum Rock Road"," "
"10",2011,"Birmingham","Alum Rock Road"," "
"11",2011,"Birmingham","Alum Rock Road"," "
"12",2011,"Birmingham","Alum Rock Road"," "
"13",2011,"Birmingham","arcadian centre"," "
"14",2011,"Birmingham","Arden Road Saltley"," "
"15",2011,"Birmingham","Asda Chemsley Wood"," "
"16",2011,"Birmingham","Balsahll Heath Park J W Brighton road"," "
"17",2011,"Birmingham","Bamford Road"," "
"18",2011,"Birmingham","Bamford Road"," "
"19",2011,"Birmingham","BeechBrook Ave Sparkhill"," "
"20",2011,"Birmingham","Belchers Lane"," "
"21",2011,"Birmingham","Belchers Lane"," "
"22",2011,"Birmingham","Belchers Lane"," "
"23",2011,"Birmingham","Belchers Lane Bordesley Green"," "
"24",2011,"Birmingham","Bell St"," "
"25",2011,"Birmingham","Berkley Rd East Haymills"," "
"26",2011,"Birmingham","birmingham airport"," "
"27",2011,"Birmingham","Birmingham International railway station"," "
"28",2011,"Birmingham","Bordesley Green"," "
"29",2011,"Birmingham","Bordesley Green Bordesley Green"," "
"30",2011,"Birmingham","Bristol Road"," "
"31",2011,"Birmingham","Bristol St"," "
"32",2011,"Birmingham","Broad St"," "
"33",2011,"Birmingham","Broad St"," "
"34",2011,"Birmingham","Broad St Birmingham"," "
"35",2011,"Birmingham","Buckland End Lane Shard End"," "
"36",2011,"Birmingham","Bulls Head PH St Marys Row"," "
"37",2011,"Birmingham","Bushbury Road Kitts Green"," "
"38",2011,"Birmingham","Chartice Road"," "
"39",2011,"Birmingham","Chestnut Road"," "
"40",2011,"Birmingham","church rd stechford"," "
"41",2011,"Birmingham","Church Road Sheldon"," "
"42",2011,"Birmingham","Clifford RD Dorridge"," "
"43",2011,"Birmingham","Clock Lane"," "
"44",2011,"Birmingham","Colonial road Bordesley Green"," "
"45",2011,"Birmingham","Corporation St Birmingham"," "
"46",2011,"Birmingham","corporation St"," "
"47",2011,"Birmingham","Coventry rd Small heath"," "
"48",2011,"Birmingham","COVENTRY RD SMALL HEATH BHAM"," "
"49",2011,"Birmingham","Coventry Road"," "
"50",2011,"Birmingham","Coventry Road"," "
"51",2011,"Birmingham","Coventry Road"," "
"52",2011,"Birmingham","Coventry Road"," "
"53",2011,"Birmingham","Coventry Road"," "
"54",2011,"Birmingham","Coventry road Small heath"," "
"55",2011,"Birmingham","Coventry Road Small Heath"," "
"56",2011,"Birmingham","coventry road small heath"," "
"57",2011,"Birmingham","Cranes Park Road"," "
"58",2011,"Birmingham","Cranes Park Road Sheldon"," "
"59",2011,"Birmingham","crossfield road"," "
"60",2011,"Birmingham","Crossfields Road Kitts Green"," "
"61",2011,"Birmingham","cxhurch rd stechford bham"," "
"62",2011,"Birmingham","digbeth high St"," "
"63",2011,"Birmingham","Edgbaston road"," "
"64",2011,"Birmingham","Edward Road Moseley"," "
"65",2011,"Birmingham","Fighting Cox PH"," "
"66",2011,"Birmingham","Foremans road sparkhill"," "
"67",2011,"Birmingham","front office kings heath"," "
"68",2011,"Birmingham","Garretts Green Road Garretts Green"," "
"69",2011,"Birmingham","Giles Close"," "
"70",2011,"Birmingham","GILES CLOSE STECHFORD"," "
"71",2011,"Birmingham","glazedale road"," "
"72",2011,"Birmingham","Gospel Farm Road"," "
"73",2011,"Birmingham","Gospel Farm Road"," "
"74",2011,"Birmingham","gospel lane"," "
"75",2011,"Birmingham","gospel lane"," "
"76",2011,"Birmingham","Gospel Lane"," "
"77",2011,"Birmingham","Gospel lane acocks green"," "
"78",2011,"Birmingham","Grace Church Sutton Coldfield"," "
"79",2011,"Birmingham","Great Hampton St"," "
"80",2011,"Birmingham","Green Lane"," "
"81",2011,"Birmingham","Greswell lane Shard End"," "
"82",2011,"Birmingham","Harlequin drive Mosley"," "
"83",2011,"Birmingham","Haslucks Green Road"," "
"84",2011,"Birmingham","Hazeldean Road"," "
"85",2011,"Birmingham","Heartlands Hospital"," "
"86",2011,"Birmingham","Heartlands Hospital"," "
"87",2011,"Birmingham","Heartlands Hospital A E"," "
"88",2011,"Birmingham","Heartlands Hospital A E"," "
"89",2011,"Birmingham","heartlands hospital A E"," "
"90",2011,"Birmingham","Hepben Grove"," "
"91",2011,"Birmingham","Herrick Road"," "
"92",2011,"Birmingham","Herrick Road Washwood Heath"," "
"93",2011,"Birmingham","Herrick Road Washwood Heath"," "
"94",2011,"Birmingham","High St Solihull"," "
"95",2011,"Birmingham","HIGH STREET KINGS HEATH"," "
"96",2011,"Birmingham","High St Kings Heath"," "
"97",2011,"Birmingham","high St kings heath"," "
"98",2011,"Birmingham","Hob Moor Road at Starbank Road"," "
"99",2011,"Birmingham","Holloway head Bham City centre"," "
"100",2011,"Birmingham","Hollywell Road"," "
"101",2011,"Birmingham","home address"," "
"102",2011,"Birmingham","Home Address"," "
"103",2011,"Birmingham","Homer St"," "
"104",2011,"Birmingham","Hunters Moon Public house"," "
"105",2011,"Birmingham","Hurst St"," "
"106",2011,"Birmingham","Hurst St"," "
"107",2011,"Birmingham","Hurst St"," "
"108",2011,"Birmingham","Hurst St Birmingham"," "
"109",2011,"Birmingham","Kings Heath High St"," "
"110",2011,"Birmingham","KNOWLE RD SMALL HEATH BHAM"," "
"111",2011,"Birmingham","ladypool Road"," "
"112",2011,"Birmingham","ladypool Road"," "
"113",2011,"Birmingham","Ladywell Walk"," "
"114",2011,"Birmingham","Lea Hall RD"," "
"115",2011,"Birmingham","Lea Hall rd"," "
"116",2011,"Birmingham","Lea Village Stechford"," "
"117",2011,"Birmingham","Lenches Close Mosley"," "
"118",2011,"Birmingham","Lime Tree Road"," "
"119",2011,"Birmingham","Lode Lane Hermitage Road"," "
"120",2011,"Birmingham","Long St"," "
"121",2011,"Birmingham","Long St Sparkhill"," "
"122",2011,"Birmingham","Longbridge Lane"," "
"123",2011,"Birmingham","LONGMEADOW CRESCENT SHARD END BHAM"," "
"124",2011,"Birmingham","Maccadown Lane"," "
"125",2011,"Birmingham","masshouse lane"," "
"126",2011,"Birmingham","Meadwaym Stechford"," "
"127",2011,"Birmingham","Mickleover Road Bromford"," "
"128",2011,"Birmingham","moorcroft road"," "
"129",2011,"Birmingham","Moseley Road"," "
"130",2011,"Birmingham","moseley road"," "
"131",2011,"Birmingham","moseley road"," "
"132",2011,"Birmingham","moseley road"," "
"133",2011,"Birmingham","Moseley Village"," "
"134",2011,"Birmingham","Moseley Village"," "
"135",2011,"Birmingham","Moseley Village Alcester road"," "
"136",2011,"Birmingham","Mosley All Services Club Church Road Moseley"," "
"137",2011,"Birmingham","Nearlands Close Quinton"," "
"138",2011,"Birmingham","new St"," "
"139",2011,"Birmingham","Northfield High St"," "
"140",2011,"Birmingham","O S BEHANS HIGHFIELD ROAD BILLESLEY"," "
"141",2011,"Birmingham","O S The junction Mosley Village"," "
"142",2011,"Birmingham","O S Washwood Heath road"," "
"143",2011,"Birmingham","Oakhill Road Acocks Green"," "
"144",2011,"Birmingham","Opp white hart lane cooks lane"," "
"145",2011,"Birmingham","Opposite ALDI Stratford Road"," "
"146",2011,"Birmingham","Outside Java lounge Alcester Road"," "
"147",2011,"Birmingham","Outside O2 Academy Night Club B ham City Centre"," "
"148",2011,"Birmingham","outside raven public house"," "
"149",2011,"Birmingham","Packington Ave Shard End"," "
"150",2011,"Birmingham","park off hob moor road"," "
"151",2011,"Birmingham","Parkhall Croft"," "
"152",2011,"Birmingham","Pear Tree PH"," "
"153",2011,"Birmingham","Police station"," "
"154",2011,"Birmingham","Police Station Stechford"," "
"155",2011,"Birmingham","poplar road"," "
"156",2011,"Birmingham","Poplar road"," "
"157",2011,"Birmingham","poplar road solihull"," "
"158",2011,"Birmingham","poplar road solihull"," "
"159",2011,"Birmingham","Preston Road"," "
"160",2011,"Birmingham","Priory Road Hall Green"," "
"161",2011,"Birmingham","prospect road"," "
"162",2011,"Birmingham","queenswood road"," "
"163",2011,"Birmingham","rear of boots high St"," "
"164",2011,"Birmingham","REDDINGS LANE TSYLEY"," "
"165",2011,"Birmingham","Richmond Primary Care Centre Richmond Road Stechford"," "
"166",2011,"Birmingham","ring road stourbridge"," "
"167",2011,"Birmingham","sainsburys wawrick road"," "
"168",2011,"Birmingham","sainsburys alcester road south"," "
"169",2011,"Birmingham","Sandford Road Moseley"," "
"170",2011,"Birmingham","Sarehole Mill"," "
"171",2011,"Birmingham","Sedgemere Road"," "
"172",2011,"Birmingham","Shirley Road"," "
"173",2011,"Birmingham","SHirley Road"," "
"174",2011,"Birmingham","Snow Hill"," "
"175",2011,"Birmingham","Solihull Lane"," "
"176",2011,"Birmingham","St Mary s Road Moseley"," "
"177",2011,"Birmingham","St Marys Row"," "
"178",2011,"Birmingham","station road"," "
"179",2011,"Birmingham","Station Way Birmingham International rail Station"," "
"180",2011,"Birmingham","Stechford front office"," "
"181",2011,"Birmingham","Stechford P S"," "
"182",2011,"Birmingham","Stechford Retail Park"," "
"183",2011,"Birmingham","Stonehenge croft Druids heath"," "
"184",2011,"Birmingham","Stoney Lane"," "
"185",2011,"Birmingham","Stoney Lane"," "
"186",2011,"Birmingham","stoney lane"," "
"187",2011,"Birmingham","STRATFORD HEATH SPARK HILL BIRMINGHAM"," "
"188",2011,"Birmingham","stratford road"," "
"189",2011,"Birmingham","Stratford road"," "
"190",2011,"Birmingham","Stratford Road"," "
"191",2011,"Birmingham","stratford road hall green"," "
"192",2011,"Birmingham","stratford roads"," "
"193",2011,"Birmingham","Stuart Road Stechford"," "
"194",2011,"Birmingham","talbort St"," "
"195",2011,"Birmingham","Taunton Road"," "
"196",2011,"Birmingham","Tavistock road"," "
"197",2011,"Birmingham","The Ave"," "
"198",2011,"Birmingham","The paer tree pub"," "
"199",2011,"Birmingham","Trafalger Road"," "
"200",2011,"Birmingham","Wake green Road"," "
"201",2011,"Birmingham","Ward End Road"," "
"202",2011,"Birmingham","Warwick Road"," "
"203",2011,"Birmingham","Warwick Road"," "
"204",2011,"Birmingham","Warwick Road"," "
"205",2011,"Birmingham","Warwick Road"," "
"206",2011,"Birmingham","Warwick Road"," "
"207",2011,"Birmingham","Warwick Road Tysley"," "
